name,index
FAKD4,441
APLP2,442
NUCB1,443
SEM3C,444
GLYG,445
TOM20,446
CD257,447
PABP5,448
RM53,449
HECD1,450
CD133,451
PPIL3,452
KCC4,453
AUTS2,454
PCH2,455
CD62L,456
SNRK,457
NPM3,458
CD210,459
CD11A,460
RT24,461
ARVC,462
MBNL2,463
PAQR1,464
HCK,465
ELMO3,466
PGAP1,467
RS18,468
CD252,469
CHFR,470
NELL1,471
PEX6,472
TTLL8,473
RGS8,474
TCP4,475
KEAP1,476
KIN17,477
SAE1,478
GARL3,479
PCD19,480
ZNF81,481
NFAT,482
CLEC1B,483
IL17F,484
SPT5H,485
CD7,486
SMAP,487
ADT4,488
TTC17,489
VATE1,490
CD123,491
ZN641,492
AGRV1,493
NH2L1,494
VWC2L,495
UHRF2,496
HDC,497
CD44,498
TSN11,499
UAP1,500
NRDC,501
FKBP4,502
CFA54,503
GDE,504
TCR.GAMMA,505
ARMT1,506
HEAT3,507
AT5EL,508
SYBU,509
CA2D4,510
CD107B,511
RS5,512
CD178,513
PP1G,514
GCNA,515
S1PROBE,516
ZFAT,517
PK3CA,518
ATX10,519
MED24,520
ARP3,521
PHF5A,522
VAMP5,523
SPICE,524
PPR3D,525
RXRG,526
PSB5,527
CIR1,528
CNGB3,529
TBA4A,530
NID1,531
CS2IP,532
NEXN,533
EST1,534
H2A1D,535
RAGP1,536
IST1,537
THOC4,538
GALECTIN9,539
GMPR1,540
STRC,541
TCPA,542
SLIK3,543
AKP13,544
SET1B,545
HEBP1,546
SCAM2,547
ESYT2,548
SNR40,549
FKBP9,550
IFNA,551
RT10,552
CBPD,553
TMA7,554
HLA.E,555
RTN3,556
SG3A2,557
INTEGRIN.A9B1,558
CRML,559
PRP16,560
AP1M2,561
PCX1,562
SLIK4,563
CD94,564
CD276,565
AK1C3,566
EMAL2,567
PEX5,568
VINEX,569
MEX3D,570
SQOR,571
RBM10,572
FAT2,573
PP2AB,574
TBB2B,575
RPR1B,576
ZC3H3,577
ANXA1,578
SLIK1,579
RS16,580
CD16B,581
FXR1,582
TP53B,583
BTNLA,584
RPB7,585
RALY,586
PSB4,587
CP250,588
EIF3J,589
CD365,590
MTPN,591
AT11A,592
